age,year,id_person,education,marital_stat,race,hisp_origin,sex
90,94,13643,0,0,0,0,0
50,94,13690,0,0,0,0,0
74,94,13698,0,0,0,0,0
79,95,13710,0,0,0,0,0
74,94,13777,0,0,0,0,0
84,95,13957,0,0,0,0,0
70,94,13984,0,0,0,0,0
78,94,14054,0,0,0,0,0
66,94,14078,0,0,0,0,0
84,94,14122,0,0,0,0,0
73,94,14148,0,0,0,0,0
88,94,14192,0,0,0,0,0
74,94,14306,0,0,0,0,0
72,94,14366,0,0,0,0,0
39,95,14394,0,0,0,0,0
81,95,14411,0,0,0,0,0
76,95,14465,0,0,0,0,0
82,94,14506,0,0,0,0,0
59,94,14693,0,0,0,0,0
49,94,14805,0,0,0,0,0
84,95,14865,0,0,0,0,0
84,95,15239,0,0,0,0,0
82,95,15368,0,0,0,0,0
67,94,15427,0,0,0,0,0
73,94,15707,0,0,0,0,0
69,95,15782,0,0,0,0,0
76,94,15925,0,0,0,0,0
54,94,16021,0,0,0,0,0
76,95,16209,0,0,0,0,0
86,95,16309,0,0,0,0,0
77,94,16331,0,0,0,0,0
71,95,16369,0,0,0,0,0
74,95,16413,0,0,0,0,0
71,94,16576,0,0,0,0,0
57,95,16629,0,0,0,0,0
81,95,16877,0,0,0,0,0
69,95,16914,0,0,0,0,0
48,94,16974,0,0,0,0,0
78,94,16990,0,0,0,0,0
53,95,17031,0,0,0,0,0
57,94,17102,0,0,0,0,0
82,94,17134,0,0,0,0,0
78,94,17153,0,0,0,0,0
55,95,17170,0,0,0,0,0
60,94,17294,0,0,0,0,0
82,94,17736,0,0,0,0,0
72,94,17851,0,0,0,0,0
63,94,18238,0,0,0,0,0
69,95,18293,0,0,0,0,0
82,94,18318,0,0,0,0,0
85,94,18320,0,0,0,0,0
81,95,18769,0,0,0,0,0
74,95,18772,0,0,0,0,0
78,94,18933,0,0,0,0,0
72,94,18956,0,0,0,0,0
87,94,19033,0,0,0,0,0
82,95,19068,0,0,0,0,0
70,94,19072,0,0,0,0,0
76,95,19613,0,0,0,0,0
61,95,19649,0,0,0,0,0
84,94,19748,0,0,0,0,0
78,95,19989,0,0,0,0,0
67,95,20008,0,0,0,0,0
75,95,20132,0,0,0,0,0
56,94,20133,0,0,0,0,0
59,94,20181,0,0,0,0,0
81,94,20193,0,0,0,0,0
65,95,20209,0,0,0,0,0
80,94,20352,0,0,0,0,0
77,95,20484,0,0,0,0,0
83,94,20556,0,0,0,0,0
70,95,20564,0,0,0,0,0
70,94,20601,0,0,0,0,0
68,94,20620,0,0,0,0,0
87,95,20690,0,0,0,0,0
55,95,20933,0,0,0,0,0
81,94,21046,0,0,0,0,0
72,94,21095,0,0,0,0,0
88,94,21170,0,0,0,0,0
64,94,21246,0,0,0,0,0
64,95,21373,0,0,0,0,0
79,94,21437,0,0,0,0,0
76,94,21448,0,0,0,0,0
65,95,21463,0,0,0,0,0
77,95,21610,0,0,0,0,0
65,95,21638,0,0,0,0,0
74,95,21644,0,0,0,0,0
78,94,21793,0,0,0,0,0
31,94,21825,0,0,0,0,0
71,94,21882,0,0,0,0,0
75,95,22067,0,0,0,0,0
59,94,22097,0,0,0,0,0
66,95,22151,0,0,0,0,0
64,94,22174,0,0,0,0,0
77,94,22423,0,0,0,0,0
77,95,22499,0,0,0,0,0
68,95,22725,0,0,0,0,0
77,94,23092,0,0,0,0,0
79,94,23267,0,0,0,0,0
63,94,23282,0,0,0,0,0
81,94,23315,0,0,0,0,0
68,95,23326,0,0,0,0,0
75,94,23342,0,0,0,0,0
42,94,23420,0,0,0,0,0
64,95,23475,0,0,0,0,0
57,95,23757,0,0,0,0,0
79,94,23760,0,0,0,0,0
77,95,23809,0,0,0,0,0
52,95,23857,0,0,0,0,0
83,95,23873,0,0,0,0,0
81,95,23885,0,0,0,0,0
90,94,23950,0,0,0,0,0
63,94,24188,0,0,0,0,0
69,95,24210,0,0,0,0,0
84,94,24301,0,0,0,0,0
86,94,24527,0,0,0,0,0
80,95,24550,0,0,0,0,0
89,94,24623,0,0,0,0,0
53,95,24717,0,0,0,0,0
82,94,24761,0,0,0,0,0
73,94,24769,0,0,0,0,0
74,94,24874,0,0,0,0,0
79,95,24927,0,0,0,0,0
76,95,24949,0,0,0,0,0
79,95,25013,0,0,0,0,0
72,95,25048,0,0,0,0,0
57,95,25078,0,0,0,0,0
69,94,25107,0,0,0,0,0
76,94,25190,0,0,0,0,0
69,95,25261,0,0,0,0,0
84,95,25322,0,0,0,0,0
64,95,25357,0,0,0,0,0
53,95,25395,0,0,0,0,0
82,95,25594,0,0,0,0,0
79,94,25612,0,0,0,0,0
61,94,25675,0,0,0,0,0
73,94,25747,0,0,0,0,0
81,94,25764,0,0,0,0,0
64,94,25913,0,0,0,0,0
85,94,25939,0,0,0,0,0
73,95,25988,0,0,0,0,0
65,95,26095,0,0,0,0,0
83,94,26384,0,0,0,0,0
67,94,26508,0,0,0,0,0
90,94,26530,0,0,0,0,0
58,95,26581,0,0,0,0,0
69,95,26601,0,0,0,0,0
51,95,26614,0,0,0,0,0
34,94,26714,0,0,0,0,0
72,95,26736,0,0,0,0,0
68,94,26763,0,0,0,0,0
51,95,26782,0,0,0,0,0
79,94,26802,0,0,0,0,0
78,95,26967,0,0,0,0,0
59,95,27120,0,0,0,0,0
66,95,27336,0,0,0,0,0
80,95,27415,0,0,0,0,0
76,94,27449,0,0,0,0,0
68,94,27540,0,0,0,0,0
79,95,27674,0,0,0,0,0
85,94,27694,0,0,0,0,0
90,94,27874,0,0,0,0,0
61,95,28622,0,0,0,0,0
71,95,28777,0,0,0,0,0
67,94,28883,0,0,0,0,0
68,94,28888,0,0,0,0,0
31,94,29025,0,0,0,0,0
80,94,29057,0,0,0,0,0
69,95,29206,0,0,0,0,0
77,95,29236,0,0,0,0,0
74,94,29270,0,0,0,0,0
73,94,29525,0,0,0,0,0
75,94,29660,0,0,0,0,0
64,94,29889,0,0,0,0,0
46,95,29937,0,0,0,0,0
70,95,30060,0,0,0,0,0
71,94,30099,0,0,0,0,0
66,94,30124,0,0,0,0,0
47,94,30144,0,0,0,0,0
72,95,30189,0,0,0,0,0
45,95,30192,0,0,0,0,0
80,95,30204,0,0,0,0,0
71,95,30242,0,0,0,0,0
51,95,30310,0,0,0,0,0
77,94,30323,0,0,0,0,0
83,95,30328,0,0,0,0,0
71,94,30552,0,0,0,0,0
82,95,30668,0,0,0,0,0
69,95,30780,0,0,0,0,0
69,94,30832,0,0,0,0,0
73,95,30839,0,0,0,0,0
67,95,30929,0,0,0,0,0
80,95,31015,0,0,0,0,0
78,94,31152,0,0,0,0,0
71,94,31255,0,0,0,0,0
71,95,31310,0,0,0,0,0
64,94,31407,0,0,0,0,0
71,94,31590,0,0,0,0,0
76,94,31795,0,0,0,0,0
82,95,32131,0,0,0,0,0
40,94,32140,0,0,0,0,0
72,94,32191,0,0,0,0,0
41,95,32199,0,0,0,0,0
70,95,32222,0,0,0,0,0
90,94,32284,0,0,0,0,0
56,95,32367,0,0,0,0,0
78,94,32411,0,0,0,0,0
72,94,32542,0,0,0,0,0
57,95,32557,0,0,0,0,0
78,94,32621,0,0,0,0,0
81,94,32739,0,0,0,0,0
72,94,32751,0,0,0,0,0
81,94,32765,0,0,0,0,0
51,95,32884,0,0,0,0,0
60,94,32929,0,0,0,0,0
56,94,33040,0,0,0,0,0
79,95,33062,0,0,0,0,0
70,95,33078,0,0,0,0,0
59,94,33116,0,0,0,0,0
85,95,33446,0,0,0,0,0
48,94,33476,0,0,0,0,0
80,94,33558,0,0,0,0,0
78,94,33727,0,0,0,0,0
63,94,33780,0,0,0,0,0
73,94,33781,0,0,0,0,0
80,94,33970,0,0,0,0,0
53,94,34132,0,0,0,0,0
84,94,34165,0,0,0,0,0
51,94,34273,0,0,0,0,0
70,95,34297,0,0,0,0,0
57,94,34409,0,0,0,0,0
79,94,34422,0,0,0,0,0
68,94,34490,0,0,0,0,0
75,95,34498,0,0,0,0,0
74,94,34634,0,0,0,0,0
87,94,34709,0,0,0,0,0
66,95,34788,0,0,0,0,0
71,95,34797,0,0,0,0,0
77,95,34818,0,0,0,0,0
85,95,34900,0,0,0,0,0
90,95,34993,0,0,0,0,0
88,95,35075,0,0,0,0,0
62,95,35138,0,0,0,0,0
71,94,35168,0,0,0,0,0
71,94,35212,0,0,0,0,0
83,94,35245,0,0,0,0,0
73,94,35455,0,0,0,0,0
66,94,35626,0,0,0,0,0
58,94,35850,0,0,0,0,0
69,95,35928,0,0,0,0,0
86,94,36164,0,0,0,0,0
82,94,36357,0,0,0,0,0
86,95,36385,0,0,0,0,0
63,95,36398,0,0,0,0,0
76,94,36807,0,0,0,0,0
71,94,36828,0,0,0,0,0
69,94,37141,0,0,0,0,0
72,94,37173,0,0,0,0,0
46,94,37204,0,0,0,0,0
72,95,37276,0,0,0,0,0
64,94,37308,0,0,0,0,0
76,95,37451,0,0,0,0,0
88,95,37470,0,0,0,0,0
79,95,37494,0,0,0,0,0
85,94,37575,0,0,0,0,0
70,95,37622,0,0,0,0,0
80,94,37694,0,0,0,0,0
71,95,37701,0,0,0,0,0
69,94,37807,0,0,0,0,0
69,95,37905,0,0,0,0,0
81,95,38011,0,0,0,0,0
43,94,38081,0,0,0,0,0
62,94,38088,0,0,0,0,0
71,95,38217,0,0,0,0,0
77,94,38376,0,0,0,0,0
70,94,38401,0,0,0,0,0
73,95,38469,0,0,0,0,0
72,94,38524,0,0,0,0,0
56,95,38537,0,0,0,0,0
81,94,38580,0,0,0,0,0
64,94,38664,0,0,0,0,0
65,94,38750,0,0,0,0,0
76,94,38786,0,0,0,0,0
73,95,38893,0,0,0,0,0
81,94,38922,0,0,0,0,0
70,95,38989,0,0,0,0,0
55,95,39032,0,0,0,0,0
78,94,39034,0,0,0,0,0
79,95,39246,0,0,0,0,0
84,94,39297,0,0,0,0,0
68,95,39408,0,0,0,0,0
65,94,39508,0,0,0,0,0
58,94,39577,0,0,0,0,0
90,94,39653,0,0,0,0,0
81,94,39752,0,0,0,0,0
63,94,39791,0,0,0,0,0
67,94,39863,0,0,0,0,0
65,94,39884,0,0,0,0,0
72,95,40343,0,0,0,0,0
50,95,40497,0,0,0,0,0
73,95,40610,0,0,0,0,0
55,95,40650,0,0,0,0,0
48,95,40865,0,0,0,0,0
67,94,40928,0,0,0,0,0
72,94,40962,0,0,0,0,0
61,95,41201,0,0,0,0,0
82,94,41207,0,0,0,0,0
90,95,41425,0,0,0,0,0
80,94,41506,0,0,0,0,0
68,94,41584,0,0,0,0,0
74,95,41663,0,0,0,0,0
80,95,41735,0,0,0,0,0
74,95,41813,0,0,0,0,0
81,95,41832,0,0,0,0,0
83,95,41981,0,0,0,0,0
68,94,42028,0,0,0,0,0
60,95,42105,0,0,0,0,0
75,94,42136,0,0,0,0,0
67,95,42171,0,0,0,0,0
65,95,42215,0,0,0,0,0
71,94,42238,0,0,0,0,0
69,95,42385,0,0,0,0,0
86,95,42525,0,0,0,0,0
66,94,42604,0,0,0,0,0
80,95,42864,0,0,0,0,0
46,95,43106,0,0,0,0,0
78,95,43119,0,0,0,0,0
62,94,43384,0,0,0,0,0
86,95,43390,0,0,0,0,0
55,94,43413,0,0,0,0,0
81,94,43538,0,0,0,0,0
73,94,43577,0,0,0,0,0
77,95,43598,0,0,0,0,0
70,95,43612,0,0,0,0,0
82,95,43700,0,0,0,0,0
68,94,43741,0,0,0,0,0
56,95,43790,0,0,0,0,0
63,95,43944,0,0,0,0,0
81,95,43992,0,0,0,0,0
70,95,44146,0,0,0,0,0
33,94,44189,0,0,0,0,0
71,94,44192,0,0,0,0,0
75,94,44218,0,0,0,0,0
72,95,44348,0,0,0,0,0
78,95,44389,0,0,0,0,0
70,95,44772,0,0,0,0,0
64,95,44920,0,0,0,0,0
71,94,45045,0,0,0,0,0
82,94,45079,0,0,0,0,0
74,95,45208,0,0,0,0,0
72,94,45297,0,0,0,0,0
68,95,45304,0,0,0,0,0
74,94,45545,0,0,0,0,0
77,95,45727,0,0,0,0,0
71,95,45953,0,0,0,0,0
69,95,45966,0,0,0,0,0
86,94,46064,0,0,0,0,0
58,94,46100,0,0,0,0,0
76,94,46190,0,0,0,0,0
72,94,46274,0,0,0,0,0
47,95,46499,0,0,0,0,0
88,95,46629,0,0,0,0,0
88,94,46695,0,0,0,0,0
83,94,46739,0,0,0,0,0
90,95,46768,0,0,0,0,0
55,94,46779,0,0,0,0,0
62,94,46951,0,0,0,0,0
78,94,47018,0,0,0,0,0
70,94,47092,0,0,0,0,0
66,94,47298,0,0,0,0,0
79,94,47329,0,0,0,0,0
84,94,47366,0,0,0,0,0
35,94,47444,0,0,0,0,0
79,95,47446,0,0,0,0,0
66,94,47448,0,0,0,0,0
66,95,47474,0,0,0,0,0
67,95,47513,0,0,0,0,0
79,95,47755,0,0,0,0,0
62,95,47758,0,0,0,0,0
69,94,47769,0,0,0,0,0
78,95,47832,0,0,0,0,0
84,95,47861,0,0,0,0,0
74,94,47996,0,0,0,0,0
82,95,48471,0,0,0,0,0
60,94,48596,0,0,0,0,0
63,95,48625,0,0,0,0,0
55,94,48711,0,0,0,0,0
63,95,48750,0,0,0,0,0
80,94,48807,0,0,0,0,0
82,94,48810,0,0,0,0,0
57,95,48851,0,0,0,0,0
77,95,48913,0,0,0,0,0
76,94,48952,0,0,0,0,0
74,95,48987,0,0,0,0,0
79,94,49045,0,0,0,0,0
73,94,49046,0,0,0,0,0
63,94,49055,0,0,0,0,0
58,95,49155,0,0,0,0,0
65,95,49205,0,0,0,0,0
80,94,49357,0,0,0,0,0
65,95,49508,0,0,0,0,0
87,94,49592,0,0,0,0,0
73,95,49699,0,0,0,0,0
35,95,49928,0,0,0,0,0
77,95,49974,0,0,0,0,0
83,94,50010,0,0,0,0,0
76,94,50035,0,0,0,0,0
66,95,50068,0,0,0,0,0
73,94,50239,0,0,0,0,0
82,95,50387,0,0,0,0,0
71,95,50412,0,0,0,0,0
87,95,50422,0,0,0,0,0
81,95,50448,0,0,0,0,0
80,94,50788,0,0,0,0,0
71,95,50990,0,0,0,0,0
82,94,51007,0,0,0,0,0
78,95,51017,0,0,0,0,0
77,94,51031,0,0,0,0,0
34,94,51038,0,0,0,0,0
67,94,51146,0,0,0,0,0
40,94,51389,0,0,0,0,0
84,94,51429,0,0,0,0,0
70,94,51557,0,0,0,0,0
79,94,51573,0,0,0,0,0
61,94,51604,0,0,0,0,0
74,95,51653,0,0,0,0,0
61,94,51719,0,0,0,0,0
65,95,51786,0,0,0,0,0
76,95,51946,0,0,0,0,0
74,94,51982,0,0,0,0,0
87,95,52110,0,0,0,0,0
79,95,52178,0,0,0,0,0
65,95,52193,0,0,0,0,0
67,94,52199,0,0,0,0,0
75,94,52232,0,0,0,0,0
90,94,52328,0,0,0,0,0
78,94,52376,0,0,0,0,0
66,94,52415,0,0,0,0,0
71,94,52446,0,0,0,0,0
67,95,52613,0,0,0,0,0
77,94,52698,0,0,0,0,0
49,95,52737,0,0,0,0,0
73,94,52987,0,0,0,0,0
87,95,53039,0,0,0,0,0
79,95,53174,0,0,0,0,0
50,94,53181,0,0,0,0,0
76,94,53189,0,0,0,0,0
68,95,53223,0,0,0,0,0
58,94,53255,0,0,0,0,0
72,94,53368,0,0,0,0,0
71,94,53456,0,0,0,0,0
59,94,53634,0,0,0,0,0
65,95,53978,0,0,0,0,0
86,95,54189,0,0,0,0,0
77,95,54462,0,0,0,0,0
72,94,54549,0,0,0,0,0
84,95,54653,0,0,0,0,0
83,94,54729,0,0,0,0,0
82,94,54763,0,0,0,0,0
70,94,54769,0,0,0,0,0
49,94,54824,0,0,0,0,0
76,95,54837,0,0,0,0,0
35,95,54854,0,0,0,0,0
79,94,54870,0,0,0,0,0
84,94,54926,0,0,0,0,0
74,94,55013,0,0,0,0,0
70,94,55020,0,0,0,0,0
71,95,55159,0,0,0,0,0
71,95,55245,0,0,0,0,0
78,95,55301,0,0,0,0,0
71,95,55365,0,0,0,0,0
82,95,55408,0,0,0,0,0
74,94,55455,0,0,0,0,0
67,95,55496,0,0,0,0,0
83,94,55627,0,0,0,0,0
61,95,55736,0,0,0,0,0
79,94,55802,0,0,0,0,0
72,94,55805,0,0,0,0,0
49,94,55959,0,0,0,0,0
88,95,56003,0,0,0,0,0
73,94,56007,0,0,0,0,0
62,95,56015,0,0,0,0,0
67,94,56083,0,0,0,0,0
79,95,56186,0,0,0,0,0
66,95,56325,0,0,0,0,0
52,94,56422,0,0,0,0,0
75,94,56442,0,0,0,0,0
79,94,56786,0,0,0,0,0
65,94,56962,0,0,0,0,0
74,94,57050,0,0,0,0,0
66,95,57074,0,0,0,0,0
47,94,57159,0,0,0,0,0
56,94,57270,0,0,0,0,0
71,94,57322,0,0,0,0,0
83,94,57499,0,0,0,0,0
69,95,57696,0,0,0,0,0
26,94,57704,0,0,0,0,0
58,95,57744,0,0,0,0,0
84,94,57758,0,0,0,0,0
67,94,57937,0,0,0,0,0
58,94,58032,0,0,0,0,0
62,94,58046,0,0,0,0,0
64,94,58142,0,0,0,0,0
82,94,58181,0,0,0,0,0
72,95,58229,0,0,0,0,0
70,95,58362,0,0,0,0,0
56,94,58373,0,0,0,0,0
60,95,58379,0,0,0,0,0
69,95,58448,0,0,0,0,0
72,94,58506,0,0,0,0,0
48,94,58543,0,0,0,0,0
82,95,58629,0,0,0,0,0
68,94,58790,0,0,0,0,0
59,95,58884,0,0,0,0,0
90,95,59260,0,0,0,0,0
74,94,59325,0,0,0,0,0
68,95,59379,0,0,0,0,0
70,94,59416,0,0,0,0,0
74,95,59516,0,0,0,0,0
70,95,59517,0,0,0,0,0
78,94,59533,0,0,0,0,0
54,94,59541,0,0,0,0,0
71,94,59595,0,0,0,0,0
73,95,59646,0,0,0,0,0
71,95,59782,0,0,0,0,0
80,94,59798,0,0,0,0,0
73,95,59810,0,0,0,0,0
76,95,59820,0,0,0,0,0
75,94,59860,0,0,0,0,0
81,95,59863,0,0,0,0,0
90,94,59941,0,0,0,0,0
67,95,60018,0,0,0,0,0
55,95,60033,0,0,0,0,0
87,95,60187,0,0,0,0,0
86,95,60195,0,0,0,0,0
87,95,60418,0,0,0,0,0
78,94,60430,0,0,0,0,0
59,94,60448,0,0,0,0,0
73,94,60564,0,0,0,0,0
62,94,60581,0,0,0,0,0
56,95,60702,0,0,0,0,0
64,94,60795,0,0,0,0,0
72,95,61059,0,0,0,0,0
86,94,61089,0,0,0,0,0
80,95,61156,0,0,0,0,0
63,95,61234,0,0,0,0,0
67,95,61247,0,0,0,0,0
84,95,61305,0,0,0,0,0
51,94,61476,0,0,0,0,0
62,94,61524,0,0,0,0,0
83,95,61756,0,0,0,0,0
79,94,61857,0,0,0,0,0
70,95,62131,0,0,0,0,0
68,95,62433,0,0,0,0,0
53,94,62461,0,0,0,0,0
77,94,62663,0,0,0,0,0
85,94,62707,0,0,0,0,0
82,94,62860,0,0,0,0,0
71,94,62865,0,0,0,0,0
81,95,63026,0,0,0,0,0
46,94,63153,0,0,0,0,0
59,95,63156,0,0,0,0,0
90,94,63220,0,0,0,0,0
63,95,63257,0,0,0,0,0
65,95,63410,0,0,0,0,0
78,94,63456,0,0,0,0,0
88,94,63576,0,0,0,0,0
87,94,63617,0,0,0,0,0
70,95,63864,0,0,0,0,0
45,94,63929,0,0,0,0,0
64,95,64019,0,0,0,0,0
80,94,64043,0,0,0,0,0
55,95,64084,0,0,0,0,0
51,95,64324,0,0,0,0,0
65,95,64344,0,0,0,0,0
54,94,64396,0,0,0,0,0
72,94,64497,0,0,0,0,0
73,94,64563,0,0,0,0,0
72,94,64631,0,0,0,0,0
86,95,64681,0,0,0,0,0
88,95,64700,0,0,0,0,0
63,95,64746,0,0,0,0,0
75,95,64809,0,0,0,0,0
70,95,64876,0,0,0,0,0
58,94,65057,0,0,0,0,0
60,94,65139,0,0,0,0,0
75,94,65282,0,0,0,0,0
66,94,65332,0,0,0,0,0
79,94,65422,0,0,0,0,0
56,95,65536,0,0,0,0,0
65,95,65613,0,0,0,0,0
80,95,65637,0,0,0,0,0
72,94,65682,0,0,0,0,0
76,94,65695,0,0,0,0,0
52,94,65708,0,0,0,0,0
82,95,65744,0,0,0,0,0
85,95,65756,0,0,0,0,0
68,95,65781,0,0,0,0,0
90,95,65972,0,0,0,0,0
80,95,65989,0,0,0,0,0
81,95,66229,0,0,0,0,0
66,95,66296,0,0,0,0,0
59,94,66422,0,0,0,0,0
77,94,66425,0,0,0,0,0
68,94,66488,0,0,0,0,0
85,94,66544,0,0,0,0,0
79,95,66568,0,0,0,0,0
37,95,66744,0,0,0,0,0
53,94,66904,0,0,0,0,0
84,95,66955,0,0,0,0,0
59,95,66966,0,0,0,0,0
55,95,67081,0,0,0,0,0
84,95,67098,0,0,0,0,0
68,94,67139,0,0,0,0,0
70,94,67282,0,0,0,0,0
74,95,67379,0,0,0,0,0
50,95,67408,0,0,0,0,0
41,95,67492,0,0,0,0,0
76,95,67687,0,0,0,0,0
79,95,67692,0,0,0,0,0
36,95,67723,0,0,0,0,0
70,95,67787,0,0,0,0,0
65,95,67889,0,0,0,0,0
75,95,67978,0,0,0,0,0
60,95,68122,0,0,0,0,0
90,95,68148,0,0,0,0,0
77,94,68186,0,0,0,0,0
73,95,68198,0,0,0,0,0
61,94,68288,0,0,0,0,0
77,95,68362,0,0,0,0,0
69,94,68368,0,0,0,0,0
90,94,68505,0,0,0,0,0
66,95,68733,0,0,0,0,0
69,94,68823,0,0,0,0,0
85,95,69066,0,0,0,0,0
38,94,69080,0,0,0,0,0
79,95,69138,0,0,0,0,0
78,94,69228,0,0,0,0,0
79,94,69245,0,0,0,0,0
81,95,69268,0,0,0,0,0
66,94,69326,0,0,0,0,0
75,95,69345,0,0,0,0,0
70,95,69634,0,0,0,0,0
67,95,69693,0,0,0,0,0
71,94,69712,0,0,0,0,0
73,94,69723,0,0,0,0,0
65,95,69807,0,0,0,0,0
81,94,69871,0,0,0,0,0
